index,EquipmentId,OrganizationId,ClassificationID,EquipmentName,VIN,LicensePlate,AgencyId,DOTId,FundedByDOT,FundingProgramId,GrantIdPrimary,OtherGrantPrimary,GrantIdSecondary,OtherGrantSecondary,DOTContractId,OtherDOTContract,UPIN,Quantity,AverageCostPerUnit,TotalCost,FederalShare,FederalSharePercent,StateShare,StateSharePercent,LocalShare,LocalSharePercent,TDCShare,TDCSharePercent,DOTCapitalResponsibility,OrganizationCapitalResponsibility,OtherCapitalResponsibility,OtherCapitalResponsibilityOrg,EquipmentClassID,EquipmentTypeID,EquipmentTypeOther,Manufacturer,Model,EquipmentYear,SerialNumber,EquipmentStatusId,ImprovementTypeId,CurrentCondition,CurrentConditionDate,ConditionRatingId,CurrentMileage,CurrentMileageDate,YearOfRenewal,RenewalTypeId,PurchaseOrderNumber,PurchaseOrderDate,Vendor,ReceivedDate,LastInspectionDate,NextInspectionDate,VehicleLocationStreet,VehicleLocationCity,VehicleLocationState,InServiceDate,AverageEstimatedServiceYearsWhenNew,UsefulLifeYearsRemaining,OutOfServiceDate,IsDOTLienHolder,IsTitleOnFileWithDOT,TitleNumber,RegistrationNumber,Comments,DispositionDate,sys_ModifiedUserId
67,75,3663,1,810,G211758,1170212,HTA,,False,,,,,,,,,1,60000.00,,,,,,,,,,,,,,1,2,,Dodge,Ram,2004,G211758,1,,4.0,12/15/2017 12:00:00 AM,2,115000,12/15/2017 12:00:00 AM,,,,,,,,,,,,5/10/2004 12:00:00 AM,14,16,,False,,,,,,1700
68,76,3663,1,811,R108728,1415900,HTA,,False,,,,,,,,,1,25000.00,,,,,,,,,,,,,,1,1,,Ford,Fusion,2013,R108728,1,,5.0,12/15/2017 12:00:00 AM,1,68000,12/15/2017 12:00:00 AM,,,,,,,12/15/2017 12:00:00 AM,,,,,2/21/2013 12:00:00 AM,8,7,,False,,,,,,1700
69,77,3663,1,812,GH275242,1447728,HTA,,False,,,,,,,,,1,172000.00,,,,,,,,,,,,,,1,1,,International ,Truck,2016,GH275242,1,,4.0,12/15/2017 12:00:00 AM,2,6000,,,,,,,,,,,,,9/27/2016 12:00:00 AM,8,,,False,,,,,,1700
70,78,3985,1,EXCEED Hemet #017,1FDFE4FS7HDC78017,00443K2,#017,,True,35,61,,,,0,SA64AC16-00044,,1,,,,,,,,,,,,,,,1,2,,Ford,Allstar,2017,,1,1,4.5,8/22/2019 12:00:00 AM,1,21659,7/31/2019 12:00:00 AM,,,01-15-23-19C,4/6/2017 12:00:00 AM,Creative Bus Sales,10/23/2017 12:00:00 AM,,,1285 North Santa Fe St.,Hemet,CA,12/16/2017 12:00:00 AM,14,2,,True,True,,,,,2440
71,79,3985,1,EXCEED Perris #0035,2D4RN4DG5BR770035,DP125DD,#035,,True,35,61,,0,,0,649556,,1,,,,,,,,,,,,,,,1,2,,Dodge,Entervan,2011,2D4RN4DG5BR770035,2,1,0.1,1/29/2019 12:00:00 AM,5,128925,8/15/2019 12:00:00 AM,,,,,,,,,1285 N. Santa Fe St.,Hemet,CA,1/6/2012 12:00:00 AM,14,8,11/1/2017 12:00:00 AM,True,True,,,,,2440
72,80,3985,1,EXCEED Santa Fe #014,1GBDV13167D101113,9614CDP,#014,,True,35,61,,0,,0,,,1,,,,,,,,,,,,,,,1,2,,Chevrolet,Uplander,2007,,3,1,0.1,9/3/2019 12:00:00 AM,5,75173,8/15/2019 12:00:00 AM,,,,,,,,,,,,11/15/2006 12:00:00 AM,14,12,,False,False,,,,,2440
73,81,3985,1,EXCEED Santa Fe #022,2D4RN4DG0BR770038,58022E1,#022,,True,35,61,,0,,0,,,1,,,,,,,,,,,,,,,1,2,,Dodge,Caravan,2011,,1,1,3.8,8/22/2019 12:00:00 AM,3,97907,8/15/2019 12:00:00 AM,,,,,,,,,1285 North Santa Fe St.,Hemet,CA,1/6/2012 12:00:00 AM,14,8,,True,True,,,,,2440
74,82,3985,1,EXCEED Santa Fe #550,1FDFE4FS4CDA13550,30341F1,#550,,True,35,61,,0,,0,,,1,,,,,,,,,,,,,,,1,2,,Ford,Senator/E-450 Bus,2011,,1,1,2.5,8/22/2019 12:00:00 AM,3,116699,8/15/2019 12:00:00 AM,,,,,,,,,1285 North Santa Fe St.,Hemet,CA,2/22/2012 12:00:00 AM,14,8,,True,True,,,,,2440
75,83,3985,1,EXCEED Santa Fe #71,1FDEE3FL4CDA02711,89876D1,#71,,True,35,61,,0,,0,,,1,,,,,,,,,,,,,,,1,2,,Ford,E-350 Bus,2012,,1,1,2.5,8/22/2019 12:00:00 AM,3,137323,7/31/2019 12:00:00 AM,,,,,,,,,,,,12/29/2011 12:00:00 AM,14,7,,False,False,,,,,2440
76,84,3985,1,EXCEED Perris #00,1FDFE4FS9BDB26800,89878D1,#00,,True,35,61,,0,,0,,,1,,,,,,,,,,,,,,,1,2,,Ford,E-450 Bus,2011,,1,1,2.5,8/22/2019 12:00:00 AM,3,149196,7/31/2019 12:00:00 AM,,,,,,,,,2050 Trumble Rd.,Perris,CA,12/29/2011 12:00:00 AM,14,8,,False,False,,,,,2440
